,DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,Device Type,DV_TRAVEL_DISTANCE (in feet),DV_SPEED_FPS,DV_CAPACITY_LBS,DV_FLOOR_FROM,DV_FLOOR_TO,DV_COVERED,,,
111,1P12500,A,ACTIVE,Passenger Elevator (P),11,3.333333333,2000,-1,16,17,,,
112,1P12501,A,ACTIVE,Passenger Elevator (P),11,5.833333333,2000,-1,16,17,,,
113,1P19338,A,ACTIVE,Passenger Elevator (P),11,5.833333333,2000,-1,16,17,,,
114,1P13937,A,ACTIVE,Passenger Elevator (P),11,6.666666667,2250,-1,16,17,,,
115,1P14944,A,ACTIVE,Passenger Elevator (P),11,7.5,2500,-1,16,17,,,
116,1P14943,A,ACTIVE,Passenger Elevator (P),11,11.66666667,2500,-1,16,17,,,
117,1P23134,A,ACTIVE,Passenger Elevator (P),11,11.66666667,4000,-1,16,17,,,
118,1P15066,A,ACTIVE,Passenger Elevator (P),11,13.33333333,2000,-1,16,17,,,
119,1P25655,A,ACTIVE,Passenger Elevator (P),11,5,2000,-1,17,18,,,
120,1P14881,A,ACTIVE,Passenger Elevator (P),11,8.333333333,2500,-1,17,18,,,
121,1P14882,A,ACTIVE,Passenger Elevator (P),11,8.333333333,2500,-1,17,18,,,
122,1P18460,A,ACTIVE,Passenger Elevator (P),11,4.166666667,2500,-1,18,19,,,
123,1P20253,A,ACTIVE,Passenger Elevator (P),11,0.5,2000,-1,20,21,,,
124,1P20252,A,ACTIVE,Passenger Elevator (P),11,8.333333333,2000,-1,20,21,,,
125,1P16475,A,ACTIVE,Passenger Elevator (P),11,16.66666667,4000,-1,20,21,,,
126,1P25541,A,ACTIVE,Passenger Elevator (P),11,3.333333333,2000,-1,21,22,,,
127,1P25542,A,ACTIVE,Passenger Elevator (P),11,3.333333333,2000,-1,21,22,,,
128,1P25420,A,ACTIVE,Passenger Elevator (P),11,5,2000,-1,21,22,,,
129,1P25172,A,ACTIVE,Passenger Elevator (P),11,5.833333333,2000,-1,22,23,,,
130,1P12066,A,ACTIVE,Passenger Elevator (P),11,3.333333333,1500,-1,6,7,,,
131,1P14565,A,ACTIVE,Passenger Elevator (P),11,5.833333333,2500,-1,13,14,,,
132,1P20225,A,ACTIVE,Passenger Elevator (P),11,11.66666667,4000,-1,15,16,,,
133,1P16894,A,ACTIVE,Passenger Elevator (P),11,3.333333333,2000,-1,16,17,,,
134,1P22870,A,ACTIVE,Passenger Elevator (P),11,0.666666667,2000,-1,20,21,,,
135,1P14364,A,ACTIVE,Passenger Elevator (P),11,11.66666667,2500,-1,20,21,,,
136,1P16819,A,ACTIVE,Passenger Elevator (P),11,4.166666667,2500,-1,12,13,,,
137,1P23917,A,ACTIVE,Passenger Elevator (P),11,1.666666667,2500,-1,17,18,,,
138,1P23922,A,ACTIVE,Passenger Elevator (P),11,2.5,2500,-1,17,18,,,
139,1P23926,A,ACTIVE,Passenger Elevator (P),11,5.833333333,2500,-1,17,18,,,
140,1P1875,A,ACTIVE,Passenger Elevator (P),11,0.5,1000,-1,1,2,,,
141,1P22333,A,ACTIVE,Passenger Elevator (P),11,0.666666667,1800,-1,1,2,,,
142,1P22433,A,ACTIVE,Passenger Elevator (P),11,0.666666667,1500,-1,1,2,,,
143,1P23103,A,ACTIVE,Passenger Elevator (P),12,0.666666667,2500,-1,1,2,,,
144,1P2507,A,ACTIVE,Passenger Elevator (P),12,1.616666667,1000,-1,1,2,,,
145,1P1107,A,ACTIVE,Passenger Elevator (P),12,1.666666667,4445,-1,1,2,,,
146,1P11239,A,ACTIVE,Passenger Elevator (P),12,1.666666667,1800,-1,1,2,,,
147,1P2230,A,ACTIVE,Passenger Elevator (P),12,1.666666667,2000,-1,1,2,,,
148,1P10312,A,ACTIVE,Passenger Elevator (P),12,2.083333333,1500,-1,1,2,,,
